publication,title,keywords
http://linkeddata.econstor.eu/beta/resource/publications/65555,The golden hello and political transitions,EntwicklungsfinanzierungXXXYYYdemocracyXXXYYYSchätzungXXXYYYTheorieXXXYYYWeltXXXYYYWirkungsanalyseXXXYYYPolitische ReformXXXYYYWorld BankXXXYYYPolitische StabilitätXXXYYYDemokratisierungXXXYYYIMFXXXYYYAnpassungsprogramm des IWFXXXYYYpolitical transitionsXXXYYYautocracyXXXYYYAutoritäres System
http://linkeddata.econstor.eu/beta/resource/publications/15434,Regional integration in Europe and its effects on developing countries,EU-StaatenXXXYYYAußenwirtschaftspolitikXXXYYYEU-BinnenmarktXXXYYYWirtschaftsunion
http://linkeddata.econstor.eu/beta/resource/publications/69939,A federal long-run projection model for Germany,demographic changeXXXYYYSchätzungXXXYYYDeutschlandXXXYYYconvergenceXXXYYYAlternde BevölkerungXXXYYYRegionales WachstumXXXYYYdemographischer WandelXXXYYYEntwicklungskonvergenzXXXYYYTeilstaatXXXYYYWirtschaftsprognoseXXXYYYregional long-run projectionXXXYYYregionale WachstumsprojektionXXXYYYökonomische Konvergenz
http://linkeddata.econstor.eu/beta/resource/publications/126037,Voter turnout and the size of government,FinlandXXXYYYSwedenXXXYYYVoter TurnoutXXXYYYSize of governmentXXXYYYLocal public financeXXXYYYInstrumental variable regression
http://linkeddata.econstor.eu/beta/resource/publications/73940,Citizen-centric governance indicators: Measuring and monitoring governance by listening to the people and not the interest groups,quality of lifeXXXYYYrule of lawXXXYYYpublic opinionXXXYYYtrust in governmentXXXYYYservice deliveryXXXYYYcitizen-centric governance indicatorsXXXYYYfair governanceXXXYYYgovernment oversight
http://linkeddata.econstor.eu/beta/resource/publications/127079,"Transport Infrastructure, Urban Growth and Market Access in China",market accessXXXYYYtransportation
http://linkeddata.econstor.eu/beta/resource/publications/38175,Supply of Renewable Energy Sources and the Cost of EU Climate Policy,renewable energyXXXYYYEU climate policyXXXYYYcomputable general equilibrium model
http://linkeddata.econstor.eu/beta/resource/publications/124258,Guest workers: Adequate incentives for voluntary return,temporary migrationXXXYYYoverstayingXXXYYYvoluntary returnXXXYYYguest workers
http://linkeddata.econstor.eu/beta/resource/publications/111548,Impact of IFRS on Deferred Taxes Methodology in the Czech Republic and comparison with IFRS for SMEs,IAS 12XXXYYYDeferred taxXXXYYYIFRS implementationXXXYYYIFRS for SMEs
http://linkeddata.econstor.eu/beta/resource/publications/51400,RCAs within Western Europe,Revealed Comparative AdvantageXXXYYYComparative Cost AdvantageXXXYYYTrade Specialisation
http://linkeddata.econstor.eu/beta/resource/publications/89320,The Demographic Transition in Closed and Open Economies: A Tale of Two Regions,WohlfahrtsanalyseXXXYYYEuropaXXXYYYOffene VolkswirtschaftXXXYYYLateinamerikaXXXYYYOverlapping GenerationsXXXYYYNordamerikaXXXYYYDemographischer Übergang
http://linkeddata.econstor.eu/beta/resource/publications/73042,Public Child Care and Mothers' Labor Supply - Evidence from Two Quasi-Experiments,maternal employmentXXXYYYpublic child care
http://linkeddata.econstor.eu/beta/resource/publications/65291,Measuring the price responsiveness of gasoline demand: Economic shape restrictions and nonparametric demand estimation,SchätzungXXXYYYNichtparametrisches VerfahrenXXXYYYUSAXXXYYYPreiselastizitätXXXYYYBenzinXXXYYYEinkommensverteilungXXXYYYNachfrageXXXYYYNonparametric EstimationXXXYYYDeadweight LossXXXYYYConsumer DemandXXXYYYGasoline Demand
http://linkeddata.econstor.eu/beta/resource/publications/122613,Locational choices and the costs of distance: empirical evidence for Dutch graduates,migrationXXXYYYcommutingXXXYYYdistanceXXXYYYcollege-to-workXXXYYYlocational choiceXXXYYYcollege-to-residence
http://linkeddata.econstor.eu/beta/resource/publications/23903,The Role of Banks in the Transmission of Monetary Policy in the Baltics,SchätzungXXXYYYEU-ErweiterungXXXYYYÜbergangswirtschaftXXXYYYBank Lending ChannelXXXYYYTransmissionsmechanismusXXXYYYNordosteuropaXXXYYYKreditkanalXXXYYYMonetary TransmissionXXXYYYTransition Countries
http://linkeddata.econstor.eu/beta/resource/publications/86151,Assortative matching through signals,TheorieXXXYYYsearchXXXYYYSuchtheorieXXXYYYSignallingXXXYYYArbeitsucheXXXYYYsortingXXXYYYMatchingXXXYYYsignalsXXXYYYAssortative matching
http://linkeddata.econstor.eu/beta/resource/publications/126229,City Marketing: Development Plan for the Heraklion Municipality in Crete,brandingXXXYYYGreeceXXXYYYempirical researchXXXYYYPlace MarketingXXXYYYHeraklion city
http://linkeddata.econstor.eu/beta/resource/publications/105927,Cross-border loss offset can fuel tax competition,profit shiftingXXXYYYtax competitionXXXYYYcross-border loss relief
http://linkeddata.econstor.eu/beta/resource/publications/103220,Environmental policy and industrial competitiveness: The pollution haven hypothesis reconsidered,UmweltpolitikXXXYYYtrade liberalizationXXXYYYTheorieXXXYYYBetriebliche StandortwahlXXXYYYHandelsliberalisierungXXXYYYenvironmental policyXXXYYYsignalingXXXYYYStandortwettbewerbXXXYYYinternational political economyXXXYYYProduktionsstandortXXXYYYindustrial competitiveness
http://linkeddata.econstor.eu/beta/resource/publications/44134,Gleichheit und Effizienz auf dem Arbeitsmarkt: Überlegungen zum Wandel und zur Gestaltung des Geschlechtervertrags,GeschlechtXXXYYYSozialstaatXXXYYYArbeitsmarktdiskriminierungXXXYYYSoziale GerechtigkeitXXXYYYFrauenpolitik
http://linkeddata.econstor.eu/beta/resource/publications/123390,Financial stability and monetary policy,monetary policyXXXYYYsystemic riskXXXYYYfinancial stabilityXXXYYYcentral banking
http://linkeddata.econstor.eu/beta/resource/publications/124724,Parteiprogrammatik und Einstellungen politischer Eliten: Konsens- und Konfliktstrukturen in Wahlprogrammen,WahlXXXYYYDemokratieXXXYYYWahlkampfXXXYYYParteipolitikXXXYYYpolitisches ProgrammXXXYYYWahlforschung
http://linkeddata.econstor.eu/beta/resource/publications/94917,What determines trust? Human capital vs. social institutions. Evidence from Manila and Moscow,Social CapitalXXXYYYHumankapitalXXXYYYInstitutionelle InfrastrukturXXXYYYVertrauenXXXYYYStudierendeXXXYYYManilaXXXYYYMoskau
http://linkeddata.econstor.eu/beta/resource/publications/87676,The Impact of Uncertainty on Investment: A Meta-Analysis,uncertaintyXXXYYYinvestmentXXXYYYmeta-analysis
http://linkeddata.econstor.eu/beta/resource/publications/20627,The Rate of Return to Private Schooling,SchätzungXXXYYYGroßbritannienXXXYYYBildungsertragXXXYYYearningsXXXYYYLohnXXXYYYPrivatschuleXXXYYYschool qualityXXXYYYPrivate education
http://linkeddata.econstor.eu/beta/resource/publications/75353,Energiepolitik: Erfolgreiche Energiewende nur im europäischen Kontext,Erneuerbare EnergienXXXYYYEnergiewendeXXXYYYEEGXXXYYYEmissionsrechtehandelXXXYYYGrünstromzertifikate
http://linkeddata.econstor.eu/beta/resource/publications/81761,An outlier-robust extreme bounds analysis of the determinants of health-care expenditure growth,SchätzungXXXYYYProduktivitätXXXYYYGesundheitskostenXXXYYYOECD-StaatenXXXYYYunbalanced growthXXXYYYReallohnXXXYYYUngleichgewichtiges WachstumXXXYYYExtreme Bounds AnalysisXXXYYYHealth-care expenditureXXXYYYMM estimatorXXXYYYOECD panel
http://linkeddata.econstor.eu/beta/resource/publications/22958,Numerische Gleichgewichtsmodelle - Grundlagen und Anwendungsgebiete,TheorieXXXYYYCGE-ModellingXXXYYYAllgemeines GleichgewichtXXXYYYSimulationXXXYYYSteuerreformXXXYYYWirtschaftspolitische WirkungsanalyseXXXYYYCGEXXXYYYAGE
http://linkeddata.econstor.eu/beta/resource/publications/27193,Macroeconomic performance and inequality: Brazil 1983-1994,LohnstrukturXXXYYYBrasilienXXXYYYEinkommensverteilungXXXYYYLohnindexierungXXXYYYHyperinflation
http://linkeddata.econstor.eu/beta/resource/publications/41605,Decision making in politics and economics: 4. Bundestag elections 2009 and direct democracy,DeutschlandXXXYYYMeinungXXXYYYWahlverhaltenXXXYYYcoalitionsXXXYYYDemokratieXXXYYYPolitische ParteiXXXYYYelectionsXXXYYYRegierungskoalitionXXXYYYdirect democracyXXXYYYrepresentative democracyXXXYYYtheory of votingXXXYYYmathematical theory of democracyXXXYYYindices of popularity and universality
http://linkeddata.econstor.eu/beta/resource/publications/19590,Incentive Effects of Transfers within the Extended Family: The Case of Indonesia,RemittancesXXXYYYIncentivesXXXYYYTransfersXXXYYYThree-Stage Least Squares
http://linkeddata.econstor.eu/beta/resource/publications/132449,Os fundos de investimento no Brasil de 2008 a 2013: Institucionalidade e interfaces com a política econômica,public debtXXXYYYinstitucional investorsXXXYYYinvestment fundsXXXYYYfinancial regulation
http://linkeddata.econstor.eu/beta/resource/publications/22767,Homo oeconomicus und das Recht,TheorieXXXYYYRechtsökonomikXXXYYYRationales VerhaltenXXXYYYRechtXXXYYYlawXXXYYYBeschränkte RationalitätXXXYYYKriminalitätsökonomikXXXYYYHomo oeconomicusXXXYYYDiagnosefähigkeitXXXYYYdetection skills
http://linkeddata.econstor.eu/beta/resource/publications/34878,A good time to stay out? Strikes and the business cycle,KonjunkturXXXYYYArbeitslosigkeitXXXYYYGroßbritannienXXXYYYDauerXXXYYYincidenceXXXYYYcyclicalityXXXYYYdurationXXXYYYStreikXXXYYYStrikesXXXYYYoutcome
http://linkeddata.econstor.eu/beta/resource/publications/36258,Utility functions for life years and health status: An additional remark,GesundheitXXXYYYTheorieXXXYYYRisikopräferenzXXXYYYKosten-Nutzen-AnalyseXXXYYYKritikXXXYYYLebensqualität
http://linkeddata.econstor.eu/beta/resource/publications/125248,AIDS prevention as a global learning process,XXXYYYKrankheitXXXYYYGlobalisierungXXXYYYAIDSXXXYYYSexualitätXXXYYYKunstXXXYYYPräventionXXXYYYTodXXXYYYAusstellung
http://linkeddata.econstor.eu/beta/resource/publications/105444,Microeconomic foundations of representative agent models by means of ultraproducts,microfoundationXXXYYYrepresentative agentXXXYYYsocial choiceXXXYYYreflexive Banach spaceXXXYYYconvex optimisationXXXYYYultrafilterXXXYYYbounded ultrapowerXXXYYYnonstandard analysis
http://linkeddata.econstor.eu/beta/resource/publications/112252,Ursachen für das Scheitern junger Unternehmen in den ersten fünf Jahren ihres Bestehens,UnternehmenserfolgXXXYYYEntrepreneurship-AnsatzXXXYYYUnternehmensgründungXXXYYYLiquidationXXXYYYMarktaustritt
http://linkeddata.econstor.eu/beta/resource/publications/22924,Trust and Trustworthiness in a Sequential Bargaining Game,SpieltheorieXXXYYYVertrauenXXXYYYVerhandlungenXXXYYYTrust ; Reciprocity ; Social Values Orientation ; Sequential Game ; Bargaining
http://linkeddata.econstor.eu/beta/resource/publications/54124,"When unstable, growth is less pro-poor",economic growthXXXYYYinequalityXXXYYYpovertyXXXYYYpoverty trapXXXYYYincome instabilityXXXYYYgrowth elasticity of poverty
http://linkeddata.econstor.eu/beta/resource/publications/85617,How the logic and pragmatics of sinking funds play a part in corporate governance,corporate governanceXXXYYYportfolio managementXXXYYYcapital formationXXXYYYsinking fundXXXYYYbonds placementXXXYYYfinancial hybridsXXXYYYfixed assets
http://linkeddata.econstor.eu/beta/resource/publications/100353,Globalization and Local Profiles of Economic Growth and Industrial Change,structural changeXXXYYYlocal industry compositionsXXXYYYtrade exposureXXXYYYlocal employment growth
http://linkeddata.econstor.eu/beta/resource/publications/129068,"Test Scores, Noncognitive Skills and Economic Growth",cognitive skillsXXXYYYnoncognitive skillsXXXYYYlong run economic growth
http://linkeddata.econstor.eu/beta/resource/publications/67419,Policy responses to fiscal restraints: A difference-in-discontinuities design,FinanzpolitikXXXYYYPublic ChoiceXXXYYYItalienXXXYYYfiscal rulesXXXYYYHaushaltsdefizitXXXYYYRegelgebundene PolitikXXXYYYGemeindefinanzenXXXYYYdifference-in-discontinuitiesXXXYYYlocal government finance
http://linkeddata.econstor.eu/beta/resource/publications/84203,Product market imperfections and employment dynamics,UnemploymentXXXYYYLabor DemandXXXYYYJob CreationXXXYYYSearch-Matching
http://linkeddata.econstor.eu/beta/resource/publications/55159,Does expanding health insurance beyond formal-sector workers encourage informality? Measuring the impact of Mexico's Seguro Popular,GesundheitsversorgungXXXYYYMexicoXXXYYYMexikoXXXYYYInformeller SektorXXXYYYArbeitsangebotXXXYYYinformalityXXXYYYNiedrigeinkommenXXXYYYsocial assistanceXXXYYYSoziale SicherungXXXYYYSeguro PopularXXXYYYnon-contributory social programs
http://linkeddata.econstor.eu/beta/resource/publications/53995,How do you pay? The role of incentives at the point-of-sale,Econometric and statistical methodsXXXYYYFinancial servicesXXXYYYBank notes
http://linkeddata.econstor.eu/beta/resource/publications/44347,Experimental approaches in migration studies,experimentXXXYYYidentificationXXXYYYremittancesXXXYYYmigrationXXXYYYself-selection
http://linkeddata.econstor.eu/beta/resource/publications/96256,Does FDI Work as a Channel for R&D Spillovers? Evidence Based on Swedish Data,Spillover-EffektXXXYYYIndustrieXXXYYYMultinationales UnternehmenXXXYYYSpilloversXXXYYYForeign direct investmentXXXYYYSchwedenXXXYYYIndustrieforschungXXXYYYMultinational enterprisesXXXYYYResearch and development
http://linkeddata.econstor.eu/beta/resource/publications/17880,"Das ""Interviewer-Panel"" des Sozio-oekonomischen Panels : Darstellung und ausgewählte Analysen",PanelXXXYYYDeutschlandXXXYYYMikroökonometrieXXXYYYInterview
http://linkeddata.econstor.eu/beta/resource/publications/20934,Does the Statutory Overtime Premium Discourage Long Workweeks?,SchätzungXXXYYYUSAXXXYYYArbeitszeitXXXYYYÖkonomischer AnreizXXXYYYLohnXXXYYYArbeitsrechtXXXYYYwork hoursXXXYYYÜberstundenXXXYYYcompensating differentialXXXYYYOvertime
http://linkeddata.econstor.eu/beta/resource/publications/48563,DAXplus family: Ein Aktienindex zur Darstellung der Performance von Familienunternehmen,DeutschlandXXXYYYAktienindexXXXYYYCorporate GovernanceXXXYYYEigentümerstrukturXXXYYYFamilienunternehmenXXXYYYOwnership StructureXXXYYYFamily FirmXXXYYYStyle Index
http://linkeddata.econstor.eu/beta/resource/publications/38759,"Uncertain demand, consumer loss aversion, and flat-rate tariffs",TheorieXXXYYYRisikoXXXYYYKonsumentenverhaltenXXXYYYRisikoaversionXXXYYYBetriebliche PreispolitikXXXYYYNachfrageXXXYYYPreisdifferenzierungXXXYYYConsumer Loss AversionXXXYYYFlat-Rate TariffsXXXYYYNonlinear PricingXXXYYYUncertain Demand
http://linkeddata.econstor.eu/beta/resource/publications/102334,"Discussion of Preston, ""Learning about monetary policy rules when long-horizon expectations matter""",Monetary policyXXXYYYMacroeconomicsXXXYYYEquilibrium (Economics)
http://linkeddata.econstor.eu/beta/resource/publications/15196,Zweiter Fortschrittsbericht wirtschaftswissenschaftlicher Forschungsinstitute über die wirtschaftliche Entwicklung in Ostdeutschland,Wirtschaftliche AnpassungXXXYYYDeutschlandXXXYYYWirtschaftspolitikXXXYYYWirtschaftspolitische Wirkungsanalyse
http://linkeddata.econstor.eu/beta/resource/publications/94674,Adjusting Body Mass for Measurement Error with Invalid Validation Data,obesityXXXYYYmeasurement errorXXXYYYbody mass indexXXXYYYvalidation data
http://linkeddata.econstor.eu/beta/resource/publications/76425,Inflation in Developing Countries: Does Central Bank Independence Matter?,InflationXXXYYYcentral bank independence
http://linkeddata.econstor.eu/beta/resource/publications/52872,The politics of revenue sharing in resource-dependent states,EntwicklungsländerXXXYYYFinanzausgleichXXXYYYNatürliche RessourcenXXXYYYrevenue sharingXXXYYYExporterlösXXXYYYnatural resource rents
http://linkeddata.econstor.eu/beta/resource/publications/127566,Intergenerational return to human capital,educationXXXYYYintergenerational mobilityXXXYYYchild development
http://linkeddata.econstor.eu/beta/resource/publications/28770,Deutlich verlangsamte Expansion der Weltwirtschaft,WeltXXXYYYWeltkonjunkturXXXYYYKonjunkturprognose
http://linkeddata.econstor.eu/beta/resource/publications/70597,Exporting and productivity: Evidence for Egypt and Morocco,SchätzungXXXYYYProduktivitätXXXYYYproductivityXXXYYYpanel dataXXXYYYEgyptXXXYYYExportindustrieXXXYYYUnternehmenXXXYYYfirmsXXXYYYexportingXXXYYYnew-new trade theoryXXXYYYMoroccoXXXYYYÄgyptenXXXYYYMarokko
http://linkeddata.econstor.eu/beta/resource/publications/48930,Choice set awareness and ordering effects in discrete choice experiments in discrete choice experiments,VerhaltensökonomikXXXYYYTestXXXYYYÖffentliches GutXXXYYYStrategieXXXYYYheterogeneous preferencesXXXYYYOffenbarte PräferenzenXXXYYYdiscrete choice experimentsXXXYYYmixed logitXXXYYYWTPXXXYYYstrategic behaviorXXXYYYadvanced awarenessXXXYYYorderingXXXYYYdrinking water
http://linkeddata.econstor.eu/beta/resource/publications/81787,On the estimation stability of efficiency and economies of scale in microfinance institutions,WeltXXXYYYVergleichXXXYYYData-Envelopment-AnalyseXXXYYYSkalenertragXXXYYYEntwicklungsorganisationXXXYYYMicrofinanceXXXYYYMikrofinanzierungXXXYYYUnobserved HeterogeneityXXXYYYDEAXXXYYYEconomies of ScaleXXXYYYCost EfficiencyXXXYYYSFAXXXYYYDFAXXXYYYOutreach
http://linkeddata.econstor.eu/beta/resource/publications/88899,"Economic development, trade and investment in the Eastern and Southern Mediterranean region",trade liberalizationXXXYYYunemploymentXXXYYYeconomic growthXXXYYYGeschäftsklimaXXXYYYinequalityXXXYYYInternationale WirtschaftXXXYYYFDIXXXYYYPolitische ReformXXXYYYHandelsliberalisierungXXXYYYRegionale WirtschaftsintegrationXXXYYYPrivatisierungXXXYYYWirtschaftslageXXXYYYprivatizationXXXYYYprivate sector developmentXXXYYYNordafrikaXXXYYYMittlerer OstenXXXYYYMittelmeerraumXXXYYYSouthern and Eastern MediterraneanXXXYYYMiddle East and North AfricaXXXYYYbusiness climate
http://linkeddata.econstor.eu/beta/resource/publications/93712,Nursing Home Prices and Quality of Care - Evidence from Administrative Data,panel data analysisXXXYYYnursing homesXXXYYYquality of careXXXYYYinappropriate medicationXXXYYYpsychotropic drugs
http://linkeddata.econstor.eu/beta/resource/publications/102552,Purification and independence,SpieltheorieXXXYYYAsymmetrische Information
http://linkeddata.econstor.eu/beta/resource/publications/20341,Differences in US-German Time-Allocation: Why Do Americans Work Longer Hours than Germans?,Vereinigte StaatenXXXYYYDeutschlandXXXYYYemploymentXXXYYYLohnstrukturXXXYYYSteuerbelastungXXXYYYArbeitszeitXXXYYYtime useXXXYYYZeitallokationXXXYYYworking hoursXXXYYYhousehold productionXXXYYYHaushaltsproduktionXXXYYYHausarbeit
http://linkeddata.econstor.eu/beta/resource/publications/36102,The KfW/ZEW start-up panel: design and research potential,GermanyXXXYYYPanelXXXYYYDeutschlandXXXYYYpanel dataXXXYYYUnternehmensgründungXXXYYYUnternehmensentwicklungXXXYYYDatenschutzXXXYYYMikrodatenXXXYYYmicro dataXXXYYYfirm dataXXXYYYFirm foundation
http://linkeddata.econstor.eu/beta/resource/publications/52996,Explaining leakage of public funds,educationXXXYYYUgandaXXXYYYSchulfinanzierungXXXYYYleakageXXXYYYÖffentliche BildungsausgabenXXXYYYpublic servicesXXXYYYprivate gain
http://linkeddata.econstor.eu/beta/resource/publications/54027,The impact of emerging Asia on commodity prices,ChinaXXXYYYBusiness fluctuations and cyclesXXXYYYInflationXXXYYYWirtschaftswachstumXXXYYYKanadaXXXYYYInternational topicsXXXYYYFehlerkorrekturmodellXXXYYYRohstoffpreisXXXYYYRohstoffmarkt
http://linkeddata.econstor.eu/beta/resource/publications/82395,Executive Compensation and Macroeconomic Fluctuations,KonjunkturXXXYYYFührungskräfteXXXYYYVergütungssystemXXXYYYSchwedenXXXYYYExecutive CompensationXXXYYYMacroeconomic FactorsXXXYYYCash Compensation
http://linkeddata.econstor.eu/beta/resource/publications/88731,Ethnic Diversity and Team Performance: A Field Experiment,field experimentXXXYYYentrepreneurshipXXXYYYteam performanceXXXYYYEthnic diversityXXXYYY(mutual) learning
http://linkeddata.econstor.eu/beta/resource/publications/88214,The Information Content of a Stated Choice Experiment,stated preferencesXXXYYYTestXXXYYYNiederlandeXXXYYYBewertungXXXYYYInformationswertXXXYYYDiskrete EntscheidungXXXYYYvalue of a statistical lifeXXXYYYMenschenXXXYYYWert des Lebens
http://linkeddata.econstor.eu/beta/resource/publications/47246,The political economy of import substitution and subsequent trade liberalization: The case of Turkey,TürkeiXXXYYYPublic ChoiceXXXYYYAußenhandelsliberalisierungXXXYYYImportsubstitution
http://linkeddata.econstor.eu/beta/resource/publications/115948,Immigration and School Choices in the Midst of the Great Recession,immigrationXXXYYYrecessionXXXYYYeducationXXXYYYpublic school
http://linkeddata.econstor.eu/beta/resource/publications/113354,"Analysis of nominal income evolution in the rural area, on types of households: Case study, South Muntenia Region",agricultural householdXXXYYYrural populationXXXYYYnominal incomeXXXYYYagricultural incomeXXXYYYnon agricultural income
http://linkeddata.econstor.eu/beta/resource/publications/105346,Predicting the spread of financial innovations: An epidemiological approach,Econometric ModelingXXXYYYEconometric ForecastingXXXYYYFinancial EconometricsXXXYYYFinancial Innovation
http://linkeddata.econstor.eu/beta/resource/publications/38494,Continuous Training and Wages. An Empirical Analysis Using a Comparison-group Approach,Continuous trainingXXXYYYwage returnsXXXYYYselection effects
http://linkeddata.econstor.eu/beta/resource/publications/38862,'Take it or go to court': The impact of sec. 1a of the German protection against dismissal act on severance payments,SchätzungXXXYYYDeutschlandXXXYYYWirkungsanalyseXXXYYYpanel dataXXXYYYReformXXXYYYArbeitskräfteXXXYYYKündigungsschutzXXXYYYAbfindungXXXYYYseverance payXXXYYYProtection against Dismissal Act
http://linkeddata.econstor.eu/beta/resource/publications/52022,Assessing the effectiveness of health care cost containment measures,SchätzungXXXYYYDeutschlandXXXYYYWirkungsanalyseXXXYYYSOEPXXXYYYGesundheitskostenXXXYYYRehabilitationXXXYYYcopaymentXXXYYYSelbstbeteiligungXXXYYYhealth expendituresXXXYYYcost containment measuresXXXYYYconvalescent careXXXYYYHeilbad
http://linkeddata.econstor.eu/beta/resource/publications/53568,Managing capital flows: The case of Thailand,ThailandXXXYYYKapitalimportXXXYYYKapitalverkehrspolitik
http://linkeddata.econstor.eu/beta/resource/publications/75659,The intensity of the Rwandan genocide: Fine measures from the gacaca records,HauptkomponentenanalyseXXXYYYRechtsordnungXXXYYYBürgerkriegXXXYYYRuandaXXXYYYVerbrechen gegen die Menschlichkeit
http://linkeddata.econstor.eu/beta/resource/publications/79064,The Evolution of the German Tort Law in the 19th Century - An Economic Analysis of the Evolution of Law,DeutschlandXXXYYYInstitutioneller WandelXXXYYYRechtsökonomikXXXYYYNew Institutional EconomicsXXXYYYEvolutionsökonomikXXXYYYHaftungXXXYYYEvolutionary EconomicsXXXYYYEconomic Analysis of Law
http://linkeddata.econstor.eu/beta/resource/publications/104501,Morocco's unique situation in the climate change arena: An analysis of climate forecasts and their link to agriculture,climate changeXXXYYYuncertaintyXXXYYYagricultureXXXYYYMoroccoXXXYYYCliCrop
http://linkeddata.econstor.eu/beta/resource/publications/82878,Evaluating microfoundations for aggregate price rigidities: Evidence from matched firm-level data on product prices and unit labor cost,TheorieXXXYYYPreisrigiditätXXXYYYBetriebliche PreispolitikXXXYYYInformationXXXYYYLohnstückkostenXXXYYYBusiness CyclesXXXYYYUnvollkommene InformationXXXYYYPrice SettingXXXYYYMicro DataXXXYYYMikroökonomische Fundierung
http://linkeddata.econstor.eu/beta/resource/publications/103401,Changes in Labour Market Transitions in Ireland over the Great Recession,IrelandXXXYYYGreat RecessionXXXYYYlabour market transitionsXXXYYYlongitudinal dataXXXYYYdecomposition techniques
