publication,title,keywords
http://linkeddata.econstor.eu/beta/resource/publications/15434,Regional integration in Europe and its effects on developing countries,EU-Staaten Außenwirtschaftspolitik EU-Binnenmarkt Wirtschaftsunion
http://linkeddata.econstor.eu/beta/resource/publications/69939,A federal long-run projection model for Germany,demographic change Schätzung Deutschland convergence Alternde Bevölkerung Regionales Wachstum demographischer Wandel Entwicklungskonvergenz Teilstaat Wirtschaftsprognose regional long-run projection regionale Wachstumsprojektion ökonomische Konvergenz
http://linkeddata.econstor.eu/beta/resource/publications/126037,Voter turnout and the size of government,Finland Sweden Voter Turnout Size of government Local public finance Instrumental variable regression
http://linkeddata.econstor.eu/beta/resource/publications/73940,Citizen-centric governance indicators: Measuring and monitoring governance by listening to the people and not the interest groups,quality of life rule of law public opinion trust in government service delivery citizen-centric governance indicators fair governance government oversight
http://linkeddata.econstor.eu/beta/resource/publications/127079,"Transport Infrastructure, Urban Growth and Market Access in China",market access transportation
http://linkeddata.econstor.eu/beta/resource/publications/38175,Supply of Renewable Energy Sources and the Cost of EU Climate Policy,renewable energy EU climate policy computable general equilibrium model
http://linkeddata.econstor.eu/beta/resource/publications/124258,Guest workers: Adequate incentives for voluntary return,temporary migration overstaying voluntary return guest workers
http://linkeddata.econstor.eu/beta/resource/publications/111548,Impact of IFRS on Deferred Taxes Methodology in the Czech Republic and comparison with IFRS for SMEs,IAS 12 Deferred tax IFRS implementation IFRS for SMEs
http://linkeddata.econstor.eu/beta/resource/publications/51400,RCAs within Western Europe,Revealed Comparative Advantage Comparative Cost Advantage Trade Specialisation
http://linkeddata.econstor.eu/beta/resource/publications/89320,The Demographic Transition in Closed and Open Economies: A Tale of Two Regions,Wohlfahrtsanalyse Europa Offene Volkswirtschaft Lateinamerika Overlapping Generations Nordamerika Demographischer Übergang
http://linkeddata.econstor.eu/beta/resource/publications/73042,Public Child Care and Mothers' Labor Supply - Evidence from Two Quasi-Experiments,maternal employment public child care
http://linkeddata.econstor.eu/beta/resource/publications/65291,Measuring the price responsiveness of gasoline demand: Economic shape restrictions and nonparametric demand estimation,Schätzung Nichtparametrisches Verfahren USA Preiselastizität Benzin Einkommensverteilung Nachfrage Nonparametric Estimation Deadweight Loss Consumer Demand Gasoline Demand
http://linkeddata.econstor.eu/beta/resource/publications/122613,Locational choices and the costs of distance: empirical evidence for Dutch graduates,migration commuting distance college-to-work locational choice college-to-residence
http://linkeddata.econstor.eu/beta/resource/publications/23903,The Role of Banks in the Transmission of Monetary Policy in the Baltics,Schätzung EU-Erweiterung Übergangswirtschaft Bank Lending Channel Transmissionsmechanismus Nordosteuropa Kreditkanal Monetary Transmission Transition Countries
http://linkeddata.econstor.eu/beta/resource/publications/86151,Assortative matching through signals,Theorie search Suchtheorie Signalling Arbeitsuche sorting Matching signals Assortative matching
http://linkeddata.econstor.eu/beta/resource/publications/126229,City Marketing: Development Plan for the Heraklion Municipality in Crete,branding Greece empirical research Place Marketing Heraklion city
http://linkeddata.econstor.eu/beta/resource/publications/105927,Cross-border loss offset can fuel tax competition,profit shifting tax competition cross-border loss relief
http://linkeddata.econstor.eu/beta/resource/publications/103220,Environmental policy and industrial competitiveness: The pollution haven hypothesis reconsidered,Umweltpolitik trade liberalization Theorie Betriebliche Standortwahl Handelsliberalisierung environmental policy signaling Standortwettbewerb international political economy Produktionsstandort industrial competitiveness
http://linkeddata.econstor.eu/beta/resource/publications/44134,Gleichheit und Effizienz auf dem Arbeitsmarkt: Überlegungen zum Wandel und zur Gestaltung des Geschlechtervertrags,Geschlecht Sozialstaat Arbeitsmarktdiskriminierung Soziale Gerechtigkeit Frauenpolitik
http://linkeddata.econstor.eu/beta/resource/publications/123390,Financial stability and monetary policy,monetary policy systemic risk financial stability central banking
http://linkeddata.econstor.eu/beta/resource/publications/124724,Parteiprogrammatik und Einstellungen politischer Eliten: Konsens- und Konfliktstrukturen in Wahlprogrammen,Wahl Demokratie Wahlkampf Parteipolitik politisches Programm Wahlforschung
http://linkeddata.econstor.eu/beta/resource/publications/94917,What determines trust? Human capital vs. social institutions. Evidence from Manila and Moscow,Social Capital Humankapital Institutionelle Infrastruktur Vertrauen Studierende Manila Moskau
http://linkeddata.econstor.eu/beta/resource/publications/87676,The Impact of Uncertainty on Investment: A Meta-Analysis,uncertainty investment meta-analysis
http://linkeddata.econstor.eu/beta/resource/publications/20627,The Rate of Return to Private Schooling,Schätzung Großbritannien Bildungsertrag earnings Lohn Privatschule school quality Private education
http://linkeddata.econstor.eu/beta/resource/publications/75353,Energiepolitik: Erfolgreiche Energiewende nur im europäischen Kontext,Erneuerbare Energien Energiewende EEG Emissionsrechtehandel Grünstromzertifikate
http://linkeddata.econstor.eu/beta/resource/publications/81761,An outlier-robust extreme bounds analysis of the determinants of health-care expenditure growth,Schätzung Produktivität Gesundheitskosten OECD-Staaten unbalanced growth Reallohn Ungleichgewichtiges Wachstum Extreme Bounds Analysis Health-care expenditure MM estimator OECD panel
http://linkeddata.econstor.eu/beta/resource/publications/22958,Numerische Gleichgewichtsmodelle - Grundlagen und Anwendungsgebiete,Theorie CGE-Modelling Allgemeines Gleichgewicht Simulation Steuerreform Wirtschaftspolitische Wirkungsanalyse CGE AGE
http://linkeddata.econstor.eu/beta/resource/publications/27193,Macroeconomic performance and inequality: Brazil 1983-1994,Lohnstruktur Brasilien Einkommensverteilung Lohnindexierung Hyperinflation
http://linkeddata.econstor.eu/beta/resource/publications/41605,Decision making in politics and economics: 4. Bundestag elections 2009 and direct democracy,Deutschland Meinung Wahlverhalten coalitions Demokratie Politische Partei elections Regierungskoalition direct democracy representative democracy theory of voting mathematical theory of democracy indices of popularity and universality
http://linkeddata.econstor.eu/beta/resource/publications/19590,Incentive Effects of Transfers within the Extended Family: The Case of Indonesia,Remittances Incentives Transfers Three-Stage Least Squares
http://linkeddata.econstor.eu/beta/resource/publications/132449,Os fundos de investimento no Brasil de 2008 a 2013: Institucionalidade e interfaces com a política econômica,public debt institucional investors investment funds financial regulation
http://linkeddata.econstor.eu/beta/resource/publications/22767,Homo oeconomicus und das Recht,Theorie Rechtsökonomik Rationales Verhalten Recht law Beschränkte Rationalität Kriminalitätsökonomik Homo oeconomicus Diagnosefähigkeit detection skills
http://linkeddata.econstor.eu/beta/resource/publications/34878,A good time to stay out? Strikes and the business cycle,Konjunktur Arbeitslosigkeit Großbritannien Dauer incidence cyclicality duration Streik Strikes outcome
http://linkeddata.econstor.eu/beta/resource/publications/36258,Utility functions for life years and health status: An additional remark,Gesundheit Theorie Risikopräferenz Kosten-Nutzen-Analyse Kritik Lebensqualität
http://linkeddata.econstor.eu/beta/resource/publications/125248,AIDS prevention as a global learning process, Krankheit Globalisierung AIDS Sexualität Kunst Prävention Tod Ausstellung
http://linkeddata.econstor.eu/beta/resource/publications/105444,Microeconomic foundations of representative agent models by means of ultraproducts,microfoundation representative agent social choice reflexive Banach space convex optimisation ultrafilter bounded ultrapower nonstandard analysis
http://linkeddata.econstor.eu/beta/resource/publications/112252,Ursachen für das Scheitern junger Unternehmen in den ersten fünf Jahren ihres Bestehens,Unternehmenserfolg Entrepreneurship-Ansatz Unternehmensgründung Liquidation Marktaustritt
http://linkeddata.econstor.eu/beta/resource/publications/22924,Trust and Trustworthiness in a Sequential Bargaining Game,Spieltheorie Vertrauen Verhandlungen Trust ; Reciprocity ; Social Values Orientation ; Sequential Game ; Bargaining
http://linkeddata.econstor.eu/beta/resource/publications/54124,"When unstable, growth is less pro-poor",economic growth inequality poverty poverty trap income instability growth elasticity of poverty
http://linkeddata.econstor.eu/beta/resource/publications/85617,How the logic and pragmatics of sinking funds play a part in corporate governance,corporate governance portfolio management capital formation sinking fund bonds placement financial hybrids fixed assets
http://linkeddata.econstor.eu/beta/resource/publications/100353,Globalization and Local Profiles of Economic Growth and Industrial Change,structural change local industry compositions trade exposure local employment growth
http://linkeddata.econstor.eu/beta/resource/publications/129068,"Test Scores, Noncognitive Skills and Economic Growth",cognitive skills noncognitive skills long run economic growth
http://linkeddata.econstor.eu/beta/resource/publications/67419,Policy responses to fiscal restraints: A difference-in-discontinuities design,Finanzpolitik Public Choice Italien fiscal rules Haushaltsdefizit Regelgebundene Politik Gemeindefinanzen difference-in-discontinuities local government finance
http://linkeddata.econstor.eu/beta/resource/publications/84203,Product market imperfections and employment dynamics,Unemployment Labor Demand Job Creation Search-Matching
http://linkeddata.econstor.eu/beta/resource/publications/55159,Does expanding health insurance beyond formal-sector workers encourage informality? Measuring the impact of Mexico's Seguro Popular,Gesundheitsversorgung Mexico Mexiko Informeller Sektor Arbeitsangebot informality Niedrigeinkommen social assistance Soziale Sicherung Seguro Popular non-contributory social programs
http://linkeddata.econstor.eu/beta/resource/publications/53995,How do you pay? The role of incentives at the point-of-sale,Econometric and statistical methods Financial services Bank notes
http://linkeddata.econstor.eu/beta/resource/publications/44347,Experimental approaches in migration studies,experiment identification remittances migration self-selection
http://linkeddata.econstor.eu/beta/resource/publications/96256,Does FDI Work as a Channel for R&D Spillovers? Evidence Based on Swedish Data,Spillover-Effekt Industrie Multinationales Unternehmen Spillovers Foreign direct investment Schweden Industrieforschung Multinational enterprises Research and development
http://linkeddata.econstor.eu/beta/resource/publications/17880,"Das ""Interviewer-Panel"" des Sozio-oekonomischen Panels : Darstellung und ausgewählte Analysen",Panel Deutschland Mikroökonometrie Interview
http://linkeddata.econstor.eu/beta/resource/publications/20934,Does the Statutory Overtime Premium Discourage Long Workweeks?,Schätzung USA Arbeitszeit Ökonomischer Anreiz Lohn Arbeitsrecht work hours Überstunden compensating differential Overtime
http://linkeddata.econstor.eu/beta/resource/publications/48563,DAXplus family: Ein Aktienindex zur Darstellung der Performance von Familienunternehmen,Deutschland Aktienindex Corporate Governance Eigentümerstruktur Familienunternehmen Ownership Structure Family Firm Style Index
http://linkeddata.econstor.eu/beta/resource/publications/38759,"Uncertain demand, consumer loss aversion, and flat-rate tariffs",Theorie Risiko Konsumentenverhalten Risikoaversion Betriebliche Preispolitik Nachfrage Preisdifferenzierung Consumer Loss Aversion Flat-Rate Tariffs Nonlinear Pricing Uncertain Demand
http://linkeddata.econstor.eu/beta/resource/publications/102334,"Discussion of Preston, ""Learning about monetary policy rules when long-horizon expectations matter""",Monetary policy Macroeconomics Equilibrium (Economics)
http://linkeddata.econstor.eu/beta/resource/publications/15196,Zweiter Fortschrittsbericht wirtschaftswissenschaftlicher Forschungsinstitute über die wirtschaftliche Entwicklung in Ostdeutschland,Wirtschaftliche Anpassung Deutschland Wirtschaftspolitik Wirtschaftspolitische Wirkungsanalyse
http://linkeddata.econstor.eu/beta/resource/publications/94674,Adjusting Body Mass for Measurement Error with Invalid Validation Data,obesity measurement error body mass index validation data
http://linkeddata.econstor.eu/beta/resource/publications/76425,Inflation in Developing Countries: Does Central Bank Independence Matter?,Inflation central bank independence
http://linkeddata.econstor.eu/beta/resource/publications/52872,The politics of revenue sharing in resource-dependent states,Entwicklungsländer Finanzausgleich Natürliche Ressourcen revenue sharing Exporterlös natural resource rents
http://linkeddata.econstor.eu/beta/resource/publications/127566,Intergenerational return to human capital,education intergenerational mobility child development
http://linkeddata.econstor.eu/beta/resource/publications/28770,Deutlich verlangsamte Expansion der Weltwirtschaft,Welt Weltkonjunktur Konjunkturprognose
http://linkeddata.econstor.eu/beta/resource/publications/70597,Exporting and productivity: Evidence for Egypt and Morocco,Schätzung Produktivität productivity panel data Egypt Exportindustrie Unternehmen firms exporting new-new trade theory Morocco Ägypten Marokko
http://linkeddata.econstor.eu/beta/resource/publications/48930,Choice set awareness and ordering effects in discrete choice experiments in discrete choice experiments,Verhaltensökonomik Test Öffentliches Gut Strategie heterogeneous preferences Offenbarte Präferenzen discrete choice experiments mixed logit WTP strategic behavior advanced awareness ordering drinking water
http://linkeddata.econstor.eu/beta/resource/publications/81787,On the estimation stability of efficiency and economies of scale in microfinance institutions,Welt Vergleich Data-Envelopment-Analyse Skalenertrag Entwicklungsorganisation Microfinance Mikrofinanzierung Unobserved Heterogeneity DEA Economies of Scale Cost Efficiency SFA DFA Outreach
http://linkeddata.econstor.eu/beta/resource/publications/88899,"Economic development, trade and investment in the Eastern and Southern Mediterranean region",trade liberalization unemployment economic growth Geschäftsklima inequality Internationale Wirtschaft FDI Politische Reform Handelsliberalisierung Regionale Wirtschaftsintegration Privatisierung Wirtschaftslage privatization private sector development Nordafrika Mittlerer Osten Mittelmeerraum Southern and Eastern Mediterranean Middle East and North Africa business climate
http://linkeddata.econstor.eu/beta/resource/publications/93712,Nursing Home Prices and Quality of Care - Evidence from Administrative Data,panel data analysis nursing homes quality of care inappropriate medication psychotropic drugs
http://linkeddata.econstor.eu/beta/resource/publications/102552,Purification and independence,Spieltheorie Asymmetrische Information
http://linkeddata.econstor.eu/beta/resource/publications/20341,Differences in US-German Time-Allocation: Why Do Americans Work Longer Hours than Germans?,Vereinigte Staaten Deutschland employment Lohnstruktur Steuerbelastung Arbeitszeit time use Zeitallokation working hours household production Haushaltsproduktion Hausarbeit
http://linkeddata.econstor.eu/beta/resource/publications/36102,The KfW/ZEW start-up panel: design and research potential,Germany Panel Deutschland panel data Unternehmensgründung Unternehmensentwicklung Datenschutz Mikrodaten micro data firm data Firm foundation
http://linkeddata.econstor.eu/beta/resource/publications/52996,Explaining leakage of public funds,education Uganda Schulfinanzierung leakage Öffentliche Bildungsausgaben public services private gain
http://linkeddata.econstor.eu/beta/resource/publications/54027,The impact of emerging Asia on commodity prices,China Business fluctuations and cycles Inflation Wirtschaftswachstum Kanada International topics Fehlerkorrekturmodell Rohstoffpreis Rohstoffmarkt
http://linkeddata.econstor.eu/beta/resource/publications/82395,Executive Compensation and Macroeconomic Fluctuations,Konjunktur Führungskräfte Vergütungssystem Schweden Executive Compensation Macroeconomic Factors Cash Compensation
http://linkeddata.econstor.eu/beta/resource/publications/88731,Ethnic Diversity and Team Performance: A Field Experiment,field experiment entrepreneurship team performance Ethnic diversity (mutual) learning
http://linkeddata.econstor.eu/beta/resource/publications/88214,The Information Content of a Stated Choice Experiment,stated preferences Test Niederlande Bewertung Informationswert Diskrete Entscheidung value of a statistical life Menschen Wert des Lebens
http://linkeddata.econstor.eu/beta/resource/publications/47246,The political economy of import substitution and subsequent trade liberalization: The case of Turkey,Türkei Public Choice Außenhandelsliberalisierung Importsubstitution
http://linkeddata.econstor.eu/beta/resource/publications/115948,Immigration and School Choices in the Midst of the Great Recession,immigration recession education public school
http://linkeddata.econstor.eu/beta/resource/publications/113354,"Analysis of nominal income evolution in the rural area, on types of households: Case study, South Muntenia Region",agricultural household rural population nominal income agricultural income non agricultural income
http://linkeddata.econstor.eu/beta/resource/publications/105346,Predicting the spread of financial innovations: An epidemiological approach,Econometric Modeling Econometric Forecasting Financial Econometrics Financial Innovation
http://linkeddata.econstor.eu/beta/resource/publications/38494,Continuous Training and Wages. An Empirical Analysis Using a Comparison-group Approach,Continuous training wage returns selection effects
http://linkeddata.econstor.eu/beta/resource/publications/38862,'Take it or go to court': The impact of sec. 1a of the German protection against dismissal act on severance payments,Schätzung Deutschland Wirkungsanalyse panel data Reform Arbeitskräfte Kündigungsschutz Abfindung severance pay Protection against Dismissal Act
http://linkeddata.econstor.eu/beta/resource/publications/52022,Assessing the effectiveness of health care cost containment measures,Schätzung Deutschland Wirkungsanalyse SOEP Gesundheitskosten Rehabilitation copayment Selbstbeteiligung health expenditures cost containment measures convalescent care Heilbad
http://linkeddata.econstor.eu/beta/resource/publications/53568,Managing capital flows: The case of Thailand,Thailand Kapitalimport Kapitalverkehrspolitik
http://linkeddata.econstor.eu/beta/resource/publications/75659,The intensity of the Rwandan genocide: Fine measures from the gacaca records,Hauptkomponentenanalyse Rechtsordnung Bürgerkrieg Ruanda Verbrechen gegen die Menschlichkeit
http://linkeddata.econstor.eu/beta/resource/publications/79064,The Evolution of the German Tort Law in the 19th Century - An Economic Analysis of the Evolution of Law,Deutschland Institutioneller Wandel Rechtsökonomik New Institutional Economics Evolutionsökonomik Haftung Evolutionary Economics Economic Analysis of Law
http://linkeddata.econstor.eu/beta/resource/publications/104501,Morocco's unique situation in the climate change arena: An analysis of climate forecasts and their link to agriculture,climate change uncertainty agriculture Morocco CliCrop
http://linkeddata.econstor.eu/beta/resource/publications/82878,Evaluating microfoundations for aggregate price rigidities: Evidence from matched firm-level data on product prices and unit labor cost,Theorie Preisrigidität Betriebliche Preispolitik Information Lohnstückkosten Business Cycles Unvollkommene Information Price Setting Micro Data Mikroökonomische Fundierung
http://linkeddata.econstor.eu/beta/resource/publications/103401,Changes in Labour Market Transitions in Ireland over the Great Recession,Ireland Great Recession labour market transitions longitudinal data decomposition techniques
